board_id,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,base
abc01,1.686,1.63,1.592,1.753,1.54,1.56,1.557,1.433,1.441,1.406,0.542
abc02,1.723,1.766,1.732,1.744,1.803,1.719,1.759,1.631,1.569,1.603,0.565
abc03,1.65,1.603,1.624,1.584,1.56,1.544,1.533,1.464,1.449,1.416,0.562
abc04,1.668,1.653,1.65,1.654,1.686,1.712,1.661,1.655,1.566,1.646,0.583
abc05,1.933,1.859,1.993,1.888,1.903,1.809,1.855,1.727,1.724,1.595,0.505
abc28,1.561,1.599,1.585,1.639,1.626,1.708,1.699,1.754,1.695,1.721,0.593
abc29,1.657,1.71,1.679,1.72,1.676,1.768,1.694,1.69,1.706,1.743,0.524
abc30,1.654,1.677,1.65,1.646,1.699,1.692,1.736,1.731,1.674,1.667,0.523
abc31,1.775,1.767,1.835,1.822,1.774,1.869,1.824,1.848,1.709,1.783,0.521
abc32,1.775,1.873,1.8,1.924,1.795,1.897,1.847,1.923,1.743,1.852,0.506
